longitude,latitude,timestamp
-74.08417,41.51166,2023-12-11T10:50:09Z
-74.08371,41.51176,2023-12-11T10:50:11Z
-74.08371,41.51176,2023-12-11T10:50:11Z
-74.08337,41.51088,2023-12-11T10:50:17Z
-74.08338,41.51077,2023-12-11T10:50:18Z
-74.08343,41.51072,2023-12-11T10:50:18Z
-74.08384,41.51065,2023-12-11T10:50:20Z
-74.08384,41.51065,2023-12-11T10:50:20Z
-74.08384,41.51065,2023-12-11T10:50:20Z
-74.0841,41.5106,2023-12-11T10:50:22Z
-74.08422,41.51058,2023-12-11T10:50:22Z
-74.0843,41.51063,2023-12-11T10:50:23Z
-74.08464,41.51097,2023-12-11T10:50:26Z
-74.0847,41.51106,2023-12-11T10:50:26Z
-74.08485,41.51147,2023-12-11T10:50:29Z
-74.08495,41.51159,2023-12-11T10:50:30Z
-74.08503,41.51168,2023-12-11T10:50:31Z
-74.08503,41.51168,2023-12-11T10:50:31Z
-74.08515,41.51162,2023-12-11T10:50:31Z
-74.08529,41.51154,2023-12-11T10:50:32Z
-74.08544,41.51145,2023-12-11T10:50:33Z
-74.08558,41.51135,2023-12-11T10:50:34Z
-74.08574,41.51125,2023-12-11T10:50:35Z
-74.08584,41.51115,2023-12-11T10:50:36Z
-74.08594,41.51106,2023-12-11T10:50:37Z
-74.08595,41.51105,2023-12-11T10:50:37Z
-74.08607,41.51094,2023-12-11T10:50:38Z
-74.08618,41.51083,2023-12-11T10:50:39Z
-74.08628,41.51072,2023-12-11T10:50:40Z
-74.08637,41.5106,2023-12-11T10:50:41Z
-74.08646,41.51048,2023-12-11T10:50:42Z
-74.08655,41.51036,2023-12-11T10:50:43Z
-74.08663,41.51023,2023-12-11T10:50:43Z
-74.08669,41.5101,2023-12-11T10:50:44Z
-74.08675,41.50998,2023-12-11T10:50:45Z
-74.08681,41.50985,2023-12-11T10:50:46Z
-74.08688,41.50963,2023-12-11T10:50:48Z
-74.0871,41.50906,2023-12-11T10:50:52Z
-74.08716,41.5089,2023-12-11T10:50:53Z
-74.08721,41.50874,2023-12-11T10:50:54Z
-74.08726,41.50862,2023-12-11T10:50:55Z
-74.08731,41.50849,2023-12-11T10:50:56Z
-74.08736,41.50836,2023-12-11T10:50:56Z
-74.08733,41.50823,2023-12-11T10:50:57Z
-74.08733,41.50823,2023-12-11T10:50:57Z
-74.08751,41.50826,2023-12-11T10:50:58Z
-74.08847,41.50845,2023-12-11T10:51:03Z
-74.089,41.50854,2023-12-11T10:51:06Z
-74.08903,41.50854,2023-12-11T10:51:06Z
-74.08947,41.50863,2023-12-11T10:51:08Z
-74.08961,41.50865,2023-12-11T10:51:09Z
-74.0899,41.50871,2023-12-11T10:51:11Z
-74.09021,41.50878,2023-12-11T10:51:12Z
-74.0904,41.50882,2023-12-11T10:51:13Z
-74.09044,41.50883,2023-12-11T10:51:13Z
-74.09078,41.50892,2023-12-11T10:51:15Z
-74.09084,41.50894,2023-12-11T10:51:16Z
-74.09092,41.50896,2023-12-11T10:51:16Z
-74.09135,41.50912,2023-12-11T10:51:18Z
-74.09156,41.5092,2023-12-11T10:51:20Z
-74.09197,41.5094,2023-12-11T10:51:22Z
-74.09239,41.50959,2023-12-11T10:51:24Z
-74.09397,41.51037,2023-12-11T10:51:34Z
-74.09525,41.51099,2023-12-11T10:51:42Z
-74.0975,41.51204,2023-12-11T10:51:55Z
-74.09825,41.51239,2023-12-11T10:51:59Z
-74.10073,41.51357,2023-12-11T10:52:14Z
-74.10186,41.51412,2023-12-11T10:52:21Z
-74.10208,41.51424,2023-12-11T10:52:22Z
-74.10257,41.5145,2023-12-11T10:52:25Z
-74.10279,41.51463,2023-12-11T10:52:26Z
-74.10327,41.51493,2023-12-11T10:52:29Z
-74.10419,41.51554,2023-12-11T10:52:36Z
-74.10457,41.51582,2023-12-11T10:52:38Z
-74.10493,41.51608,2023-12-11T10:52:41Z
-74.10504,41.51616,2023-12-11T10:52:42Z
-74.10623,41.51717,2023-12-11T10:52:51Z
-74.10658,41.51746,2023-12-11T10:52:53Z
-74.10691,41.51774,2023-12-11T10:52:56Z
-74.10697,41.51779,2023-12-11T10:52:56Z
-74.10772,41.51843,2023-12-11T10:53:02Z
-74.10788,41.51865,2023-12-11T10:53:03Z
-74.10795,41.51874,2023-12-11T10:53:04Z
-74.10805,41.51883,2023-12-11T10:53:05Z
-74.10806,41.51884,2023-12-11T10:53:05Z
-74.10814,41.5189,2023-12-11T10:53:06Z
-74.10916,41.51977,2023-12-11T10:53:13Z
-74.11048,41.52086,2023-12-11T10:53:23Z
-74.11048,41.52086,2023-12-11T10:53:23Z
-74.11058,41.52078,2023-12-11T10:53:24Z
-74.11242,41.51936,2023-12-11T10:53:37Z
-74.11261,41.51921,2023-12-11T10:53:38Z
-74.1128,41.51908,2023-12-11T10:53:40Z
-74.11299,41.51895,2023-12-11T10:53:41Z
-74.11442,41.51807,2023-12-11T10:53:50Z
-74.11726,41.51651,2023-12-11T10:54:08Z
-74.11773,41.51626,2023-12-11T10:54:11Z
