longitude,latitude,timestamp
-75.31687,43.17101,2023-12-09T21:04:13Z
-75.31566,43.17009,2023-12-09T21:04:21Z
-75.31566,43.17009,2023-12-09T21:04:21Z
-75.31566,43.17009,2023-12-09T21:04:21Z
-75.31473,43.16938,2023-12-09T21:04:28Z
-75.31472,43.16934,2023-12-09T21:04:28Z
-75.31472,43.16934,2023-12-09T21:04:28Z
-75.31472,43.16934,2023-12-09T21:04:28Z
-75.31463,43.16905,2023-12-09T21:04:30Z
-75.31467,43.16897,2023-12-09T21:04:30Z
-75.31467,43.16897,2023-12-09T21:04:30Z
-75.31467,43.16897,2023-12-09T21:04:30Z
-75.31482,43.16868,2023-12-09T21:04:32Z
-75.315,43.16856,2023-12-09T21:04:34Z
-75.315,43.16856,2023-12-09T21:04:34Z
-75.315,43.16856,2023-12-09T21:04:34Z
-75.31518,43.16844,2023-12-09T21:04:35Z
-75.31531,43.16834,2023-12-09T21:04:36Z
-75.31574,43.16809,2023-12-09T21:04:38Z
-75.31598,43.16797,2023-12-09T21:04:40Z
-75.31621,43.16789,2023-12-09T21:04:41Z
-75.31634,43.16785,2023-12-09T21:04:42Z
-75.31634,43.16785,2023-12-09T21:04:42Z
-75.31634,43.16785,2023-12-09T21:04:42Z
-75.31643,43.16783,2023-12-09T21:04:42Z
-75.3167,43.16779,2023-12-09T21:04:44Z
-75.31698,43.16777,2023-12-09T21:04:45Z
-75.3172,43.16777,2023-12-09T21:04:46Z
-75.31743,43.16779,2023-12-09T21:04:47Z
-75.31765,43.16781,2023-12-09T21:04:48Z
-75.31785,43.16785,2023-12-09T21:04:49Z
-75.31796,43.16789,2023-12-09T21:04:50Z
-75.31836,43.16806,2023-12-09T21:04:52Z
-75.31853,43.16817,2023-12-09T21:04:53Z
-75.31864,43.16826,2023-12-09T21:04:54Z
-75.31864,43.16826,2023-12-09T21:04:54Z
-75.31865,43.16827,2023-12-09T21:04:54Z
-75.31872,43.16833,2023-12-09T21:04:55Z
-75.319,43.1686,2023-12-09T21:04:57Z
-75.31943,43.16897,2023-12-09T21:05:00Z
-75.32038,43.16985,2023-12-09T21:05:08Z
-75.32038,43.16985,2023-12-09T21:05:08Z
-75.32038,43.16985,2023-12-09T21:05:08Z
-75.32049,43.16995,2023-12-09T21:05:08Z
-75.32096,43.17036,2023-12-09T21:05:12Z
-75.32096,43.17036,2023-12-09T21:05:12Z
-75.32096,43.17036,2023-12-09T21:05:12Z
-75.32103,43.17042,2023-12-09T21:05:12Z
-75.32122,43.17061,2023-12-09T21:05:14Z
-75.3228,43.17212,2023-12-09T21:05:27Z
-75.3228,43.17212,2023-12-09T21:05:27Z
-75.3228,43.17212,2023-12-09T21:05:27Z
-75.32299,43.1723,2023-12-09T21:05:28Z
-75.32335,43.17264,2023-12-09T21:05:31Z
-75.32366,43.17285,2023-12-09T21:05:33Z
-75.32374,43.1729,2023-12-09T21:05:34Z
-75.32384,43.17296,2023-12-09T21:05:34Z
-75.32394,43.17302,2023-12-09T21:05:35Z
-75.32394,43.17302,2023-12-09T21:05:35Z
-75.32394,43.17302,2023-12-09T21:05:35Z
-75.32399,43.17305,2023-12-09T21:05:35Z
-75.32415,43.17312,2023-12-09T21:05:36Z
-75.32432,43.17322,2023-12-09T21:05:37Z
-75.32571,43.17391,2023-12-09T21:05:45Z
-75.32604,43.17412,2023-12-09T21:05:48Z
-75.32604,43.17412,2023-12-09T21:05:48Z
-75.32604,43.17412,2023-12-09T21:05:48Z
-75.32633,43.17435,2023-12-09T21:05:50Z
-75.32661,43.17464,2023-12-09T21:05:52Z
-75.32691,43.17503,2023-12-09T21:05:55Z
-75.32708,43.17519,2023-12-09T21:05:56Z
-75.32788,43.17633,2023-12-09T21:06:05Z
-75.32788,43.17633,2023-12-09T21:06:05Z
-75.32788,43.17633,2023-12-09T21:06:05Z
-75.32817,43.17675,2023-12-09T21:06:08Z
-75.32846,43.17713,2023-12-09T21:06:11Z
-75.32878,43.17752,2023-12-09T21:06:14Z
-75.3291,43.1779,2023-12-09T21:06:17Z
-75.32946,43.17828,2023-12-09T21:06:20Z
-75.3303,43.17914,2023-12-09T21:06:27Z
-75.3303,43.17914,2023-12-09T21:06:27Z
-75.3303,43.17914,2023-12-09T21:06:27Z
-75.3312,43.18006,2023-12-09T21:06:35Z
-75.33277,43.18171,2023-12-09T21:06:48Z
-75.3332,43.18209,2023-12-09T21:06:51Z
-75.33487,43.18378,2023-12-09T21:07:05Z
-75.33499,43.1839,2023-12-09T21:07:06Z
-75.33505,43.18395,2023-12-09T21:07:07Z
-75.33505,43.18395,2023-12-09T21:07:07Z
-75.33505,43.18395,2023-12-09T21:07:07Z
-75.33527,43.18417,2023-12-09T21:07:08Z
-75.3357,43.18453,2023-12-09T21:07:12Z
-75.33621,43.18495,2023-12-09T21:07:15Z
-75.3367,43.18533,2023-12-09T21:07:19Z
-75.33882,43.18685,2023-12-09T21:07:33Z
-75.33901,43.18698,2023-12-09T21:07:35Z
-75.33901,43.18698,2023-12-09T21:07:35Z
-75.33901,43.18698,2023-12-09T21:07:35Z
-75.33976,43.18751,2023-12-09T21:07:40Z
-75.34,43.18768,2023-12-09T21:07:41Z
-75.34068,43.18811,2023-12-09T21:07:46Z
-75.34103,43.18831,2023-12-09T21:07:48Z
-75.34174,43.18871,2023-12-09T21:07:52Z
-75.34287,43.18927,2023-12-09T21:07:59Z
-75.34346,43.18955,2023-12-09T21:08:02Z
-75.34346,43.18955,2023-12-09T21:08:02Z
-75.34346,43.18955,2023-12-09T21:08:02Z
-75.34399,43.18981,2023-12-09T21:08:05Z
-75.34653,43.19103,2023-12-09T21:08:20Z
-75.34729,43.19138,2023-12-09T21:08:25Z
-75.34807,43.19171,2023-12-09T21:08:29Z
-75.34845,43.19185,2023-12-09T21:08:31Z
-75.34845,43.19185,2023-12-09T21:08:31Z
-75.34845,43.19185,2023-12-09T21:08:31Z
-75.34914,43.19211,2023-12-09T21:08:35Z
-75.34959,43.19226,2023-12-09T21:08:37Z
-75.35049,43.19254,2023-12-09T21:08:42Z
-75.3537,43.19342,2023-12-09T21:08:59Z
-75.3537,43.19342,2023-12-09T21:08:59Z
-75.3537,43.19342,2023-12-09T21:08:59Z
-75.36191,43.19567,2023-12-09T21:09:41Z
-75.36299,43.19597,2023-12-09T21:09:47Z
-75.36299,43.19597,2023-12-09T21:09:47Z
-75.36299,43.19597,2023-12-09T21:09:47Z
-75.36374,43.19617,2023-12-09T21:09:51Z
-75.36524,43.1966,2023-12-09T21:09:59Z
-75.36602,43.19685,2023-12-09T21:10:03Z
-75.37207,43.1989,2023-12-09T21:10:35Z
-75.37223,43.19896,2023-12-09T21:10:36Z
-75.37234,43.19899,2023-12-09T21:10:37Z
-75.37234,43.19899,2023-12-09T21:10:37Z
-75.37234,43.19899,2023-12-09T21:10:37Z
